"model","pv_draw_id","mediator","estimate","std.error"
"ULWOM",44,"SCSP",0.0363417832336976,0.242884083744486
"ULWOM",44,"SCHL",0.184774795727118,0.18649439586344
"ULWOM",45,"DNKA",0.312040904252227,0.154761491708422
"ULWOM",45,"ESXC",0.433307914747661,0.190453934833484
"ULWOM",45,"FDSC",0.717772344790954,0.144314194975345
"ULWOM",45,"GOVG",0.105853341023375,0.160335483026646
"ULWOM",45,"VLNC",0.617892077707602,0.148753473899176
"ULWOM",45,"SCSP",0.0510207203250585,0.243200899156255
"ULWOM",45,"SCHL",0.175812299424058,0.18631872731395
"ULWOM",46,"DNKA",0.308861453802911,0.155080461535502
"ULWOM",46,"ESXC",0.44742992734812,0.189633122092163
"ULWOM",46,"FDSC",0.716293704447967,0.144305335865958
"ULWOM",46,"GOVG",0.102729072449068,0.160568205586252
"ULWOM",46,"VLNC",0.615552488390976,0.149152746902669
"ULWOM",46,"SCSP",0.0441663597236938,0.244078952530879
"ULWOM",46,"SCHL",0.180709988024424,0.186456515478391
"ULWOM",47,"DNKA",0.297475325668295,0.155114423846603
"ULWOM",47,"ESXC",0.426721477016306,0.190274559106985
"ULWOM",47,"FDSC",0.730490916207741,0.144587534233677
"ULWOM",47,"GOVG",0.101704712248693,0.160609094476797
"ULWOM",47,"VLNC",0.623924579279902,0.148821727088578
"ULWOM",47,"SCSP",0.0369247632219974,0.243847443421868
"ULWOM",47,"SCHL",0.17285726590862,0.186421565800181
"ULWOM",48,"DNKA",0.306282684948336,0.15509451235654
"ULWOM",48,"ESXC",0.447022588774037,0.189421876502883
"ULWOM",48,"FDSC",0.72628574682074,0.14430145133411
"ULWOM",48,"GOVG",0.106861541600423,0.16053296958357
"ULWOM",48,"VLNC",0.627434502963419,0.148817980674896
"ULWOM",48,"SCSP",0.0345620574601611,0.243015866662289
"ULWOM",48,"SCHL",0.188473339543478,0.186379320269827
"ULWOM",49,"DNKA",0.312317791271966,0.154948593966636
"ULWOM",49,"ESXC",0.438036474971998,0.19014978433736
"ULWOM",49,"FDSC",0.721092602636678,0.144340836174912
"ULWOM",49,"GOVG",0.108152044210452,0.16024728068474
"ULWOM",49,"VLNC",0.617590109263462,0.14850802247827
"ULWOM",49,"SCSP",0.0365462697020207,0.243198368510287
"ULWOM",49,"SCHL",0.194812719078406,0.186215706932016
"ULWOM",50,"DNKA",0.30997845860816,0.155007585981523
"ULWOM",50,"ESXC",0.438475292808967,0.190246158026638
"ULWOM",50,"FDSC",0.716463639977683,0.144525745867724
"ULWOM",50,"GOVG",0.106105062800096,0.160457605557289
"ULWOM",50,"VLNC",0.617897800424978,0.148654876270078
"ULWOM",50,"SCSP",0.0446231620282871,0.243106861192378
"ULWOM",50,"SCHL",0.189262753509939,0.186473390272506
"ULWOM",51,"DNKA",0.307293294091114,0.155013617352181
"ULWOM",51,"ESXC",0.425692049954775,0.19018602731165
"ULWOM",51,"FDSC",0.71670699022884,0.14435776099878
"ULWOM",51,"GOVG",0.107645307705361,0.160316701749176
"ULWOM",51,"VLNC",0.614663180792995,0.148560345215716
"ULWOM",51,"SCSP",0.0376226230415893,0.243278051728096
"ULWOM",51,"SCHL",0.173417369987527,0.186406715458523
"ULWOM",52,"DNKA",0.305159296039388,0.154959641022295
"ULWOM",52,"ESXC",0.431704621631309,0.18962536063882
"ULWOM",52,"FDSC",0.716154283931259,0.144245989772664
"ULWOM",52,"GOVG",0.106866268059357,0.160406390380083
"ULWOM",52,"VLNC",0.615316352575844,0.148591832257795
"ULWOM",52,"SCSP",0.0506896308463011,0.243438126661908
"ULWOM",52,"SCHL",0.180029938356943,0.18606416337924
"ULWOM",53,"DNKA",0.309454936214215,0.15497057035293
"ULWOM",53,"ESXC",0.429018003893349,0.189824160702006
"ULWOM",53,"FDSC",0.718061517163477,0.14426154627974
"ULWOM",53,"GOVG",0.102351910711195,0.160519238200408
"ULWOM",53,"VLNC",0.617530586258361,0.148676926677098
"ULWOM",53,"SCSP",0.0337386479168058,0.243298829028728
"ULWOM",53,"SCHL",0.183867296230892,0.186756762329928
"ULWOM",54,"DNKA",0.313566859564034,0.154905447777872
"ULWOM",54,"ESXC",0.445416342318005,0.189706802917957
"ULWOM",54,"FDSC",0.72242884930815,0.144369264565766
"ULWOM",54,"GOVG",0.112829784964689,0.160357149561104
"ULWOM",54,"VLNC",0.625180429516367,0.148513546212393
"ULWOM",54,"SCSP",0.0450112425455753,0.243529511555904
"ULWOM",54,"SCHL",0.192019710474154,0.18664216231355
"ULWOM",55,"DNKA",0.302929361064005,0.154941955162133
"ULWOM",55,"ESXC",0.437701075341628,0.19000159777623
"ULWOM",55,"FDSC",0.716214639687258,0.144394017962083
"ULWOM",55,"GOVG",0.0988676804222437,0.160429737263338
"ULWOM",55,"VLNC",0.616338903861438,0.148642427779097
"ULWOM",55,"SCSP",0.0342159261579921,0.243896719973195
"ULWOM",55,"SCHL",0.193260586160308,0.187002821696947
"ULWOM",56,"DNKA",0.306503689306162,0.154904252875435
"ULWOM",56,"ESXC",0.441164795095975,0.189804586635244
"ULWOM",56,"FDSC",0.718201963413459,0.14410551773686
"ULWOM",56,"GOVG",0.106869982791689,0.160331846890009
"ULWOM",56,"VLNC",0.617848243000682,0.148652038383226
"ULWOM",56,"SCSP",0.0406768847237879,0.242989062121581
"ULWOM",56,"SCHL",0.181280276681638,0.186275825903435
"ULWOM",57,"DNKA",0.302281292366864,0.155502349742591
"ULWOM",57,"ESXC",0.427616752483857,0.190126904848602
"ULWOM",57,"FDSC",0.724716906413265,0.144420003171962
"ULWOM",57,"GOVG",0.110593418012861,0.160560128845585
"ULWOM",57,"VLNC",0.616614865737177,0.148797590255516
"ULWOM",57,"SCSP",0.0268582120766418,0.243287648961579
"ULWOM",57,"SCHL",0.178636807933112,0.186261831923837
"ULWOM",58,"DNKA",0.29351559685198,0.155162418015576
"ULWOM",58,"ESXC",0.459209995033987,0.189876216857191
"ULWOM",58,"FDSC",0.722468456147749,0.144288791944691
"ULWOM",58,"GOVG",0.118525802531548,0.160443292058814
"ULWOM",58,"VLNC",0.631336166034288,0.14891409494385
"ULWOM",58,"SCSP",0.0588465919985374,0.243571244471709
"ULWOM",58,"SCHL",0.193221784971083,0.186990980769293
"ULWOM",59,"DNKA",0.300443451445889,0.154906908135652
"ULWOM",59,"ESXC",0.462663850002666,0.189992056693386
"ULWOM",59,"FDSC",0.721370221937596,0.14424483783887
"ULWOM",59,"GOVG",0.108252380951909,0.160548634070365
"ULWOM",59,"VLNC",0.627087382411634,0.148799414978133
"ULWOM",59,"SCSP",0.0366145980131018,0.2431855749579
"ULWOM",59,"SCHL",0.183820139224799,0.186196227506174
"ULWOM",60,"DNKA",0.300916335959402,0.15523330507512
"ULWOM",60,"ESXC",0.418974812758858,0.190026041276839
"ULWOM",60,"FDSC",0.71609330254359,0.144213391480061
